target_name_ullyses,target_name_hlsp,target_name_simbad,target_name_ullyses_apt,alias0,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias8,alias9,alias10,alias12,alias13,alias14,alias15,alias16,alias17,alias18,alias19,alias20
SK -71 8,SK-71D8,SK -71 8,SK-71D8,SK -71 8,SK-71D8,SK -71 8|SK_-718,SK-71.08,SK -71 8,SK_-718,SK-71.08,SK -71 8,SK_-718,,,,,,,,,,,
SK -70 32,SK-70D32,SK -70 32,SK-70D32,SK -70 32,SK-70D32,SK -70 32|[M2002]_46268,SK -70 32,[M2002]_46268,SK -70 32,[M2002]_46268,,,,,,,,,,,,,
SK -66 17,SK-66D17,[ELS2006] N11 011,SK-66D17,SK -66 17,SK-66D17,N11-011|N11_11,N11-011,N11_11,N11-011,N11_11,,,,,,,,,,,,,
SK -69 178,SK-69D178,SK -69 178,SK-69D178,SK -69 178,SK-69D178,SK-69 178|[AAOMEGA]_105,SK-69 178,[AAOMEGA]_105,SK-69 178,[AAOMEGA]_105,,,,,,,,,,,,,
BI 128,BI-128,BI 128,BI128,BI 128,BI128,BI128|BI_128,BI128,BI_128,BI128,BI_128,,,,,,,,,,,,,
SK -70 13,SK-70D13,SK -70 13,SK-70D13,SK -70 13,SK-70D13,SK -70 13|[M2002]_19062,SK -70 13,[M2002]_19062,SK -70 13,[M2002]_19062,,,,,,,,,,,,,
SK -66 171,SK-66D171,SK -66 171,SK-66D171,SK -66 171,SK-66D171,SK -66 171|SK_-66171,SK-66_171,SK -66 171,SK_-66171,SK-66_171,SK -66 171,SK_-66171,,,,,,,,,,,
VFTS 66,VFTS-66,VFTS 66,VFTS-66,VFTS 66,VFTS-66,VFTS066,,,,,,,,,,,,,,,,,
SK -71 21,SK-71D21,BAT99 32,SK-71D21,SK -71 21,SK-71D21,HD 36063,BREY26,BREY26,,,,,,,,,,,,,,,
HD 269927C,HD-269927C,[ST92] 5-68,HD269927C,HD 269927C,HD269927C,[ST92] 5-68,HDE269927,,,,,,,,,,,,,,,,
SK -65 55,SK-65D55,BAT99 30,SK-65D55,SK -65 55,SK-65D55,LHA 120-S 28,BREY24,BREY24,,,,,,,,,,,,,,,
SK -67 20,SK-67D20,HD 32109,SK-67D20,SK -67 20,SK-67D20,HD 32109,HD32109,HD_32109,[M2002]_25077,,,,,,,,,,,,,,
SK -67 266,SK-67D266,BAT99 133,SK-67D266,SK -67 266,SK-67D266,LHA 120-S 61,SK-67266,SK-67266,,,,,,,,,,,,,,,
SK -68 15,SK-68D15,BAT99 11,SK-68D15,SK -68 15,SK-68D15,HD 32402,BR_10,HD32402,LH12_16,[M2002]_33780,,,,,,,,,,,,,
SK -69 191,SK-69D191,BAT99 61,SK-69D191,SK -69 191,SK-69D191,HD 37680,HD37680,BR_50,,,,,,,,,,,,,,,
CHX 18N,CHX-18N,CHX 18N,CHX18N,CHX18N,,,,,,,,,,,,,,,,,,,
CVSO 146,CVSO-146,CVSO 146,CVSO-146,,,,,,,,,,,,,,,,,,,,
HN 5,HN-5,HN 5,HN5,HN5,,,,,,,,,,,,,,,,,,,
SZ 100,SZ-100,SZ 100,SZ100,SZ100,,,,,,,,,,,,,,,,,,,
SZ 103,SZ-103,SZ 103,SZ103,SZ103,,,,,,,,,,,,,,,,,,,
SZ 104,SZ-104,SZ 104,SZ104,SZ104,,,,,,,,,,,,,,,,,,,
SZ 110,SZ-110,SZ 110,SZ110,SZ110,,,,,,,,,,,,,,,,,,,
SZ 111,SZ-111,SZ 111,SZ111,SZ111,,,,,,,,,,,,,,,,,,,
SZ 112,SZ-112,SZ 112,SZ112,SZ112,,,,,,,,,,,,,,,,,,,
SZ 114,SZ-114,SZ 114,SZ114,SZ114,,,,,,,,,,,,,,,,,,,
SZ 115,SZ-115,SZ 115,SZ115,SZ115,,,,,,,,,,,,,,,,,,,
SZ 117,SZ-117,SZ 117,SZ117,SZ117,,,,,,,,,,,,,,,,,,,
SZ 129,SZ-129,SZ 129,SZ129,SZ129,,,,,,,,,,,,,,,,,,,
SZ 130,SZ-130,SZ 130,SZ130,SZ130,,,,,,,,,,,,,,,,,,,
SZ 19,SZ-19,SZ 19,SZ19,SZ19,,,,,,,,,,,,,,,,,,,
SZ 66,SZ-66,SZ 66,SZ66,SZ66,,,,,,,,,,,,,,,,,,,
SZ 69,SZ-69,SZ 69,SZ69,SZ69,,,,,,,,,,,,,,,,,,,
SZ 71,SZ-71,SZ 71,SZ71,SZ71,,,,,,,,,,,,,,,,,,,
SZ 72,SZ-72,SZ 72,SZ72,SZ72,,,,,,,,,,,,,,,,,,,
SZ 75,SZ-75,SZ 75,SZ75,SZ75,,,,,,,,,,,,,,,,,,,
